time,x,y,z
3.240649167,0.3584886986,-0.4770714015,-0.4577036691
3.250614167,0.4932025538,-0.05852068841,-0.4804554775
3.260580167,0.6083748682,0.52958583,-0.4509415103
3.270545167,0.7332360189,0.9644578761,-0.38705147
3.280511167,0.5779940513,0.3537758428,-0.08358726338
3.290476167,0.310089175,-0.4036695492,0.2536000286
3.300442167,0.1732481758,-0.8219337487,0.366697897
3.310407167,0.1132168593,-0.9533686316,0.326057117
3.320373167,0.07544969335,-0.9010103238,0.2775578253
3.330338167,0.007695155069,-0.6079531378,0.2552115212
3.340304167,0.04358733818,-0.08391865432,0.1770377563
3.350269167,0.1372300583,0.4161428297,0.1027183297
3.360235167,0.07662995383,0.7332618928,0.1514557493
3.370200167,0.06734114014,1.104937817,0.2520544633
3.380166167,0.2503858873,1.065592487,0.2490036786
3.390131167,0.2386639009,0.4125736892,0.2880157167
3.400097167,0.1430949618,0.0002853441238,0.2375961994
3.410062167,0.1253157717,0.189057439,0.09909861088
3.420028167,-0.01479433268,0.5336554921,0.2724668008
3.429993167,-0.01517769076,0.8636319977,0.3607047933
3.439959167,0.01694676585,0.9426226187,0.3019858843
3.449924167,-0.1069722522,0.7253704906,0.2126737583
3.459890167,-0.2543570238,0.5987642384,0.2229210037
3.469855167,-0.1644731862,0.8089733952,0.2534000538
3.479821167,-0.1527703495,0.812279411,0.3413451008
3.489786167,-0.2615154775,0.4944083959,0.4245373848
3.499752167,-0.2369459159,0.07175586104,0.281798957
3.509717167,-0.1203180103,-0.4872929192,-0.08152041882
3.519683167,-0.03707967952,-1.004371555,-0.339823363
3.529648167,-0.02957719021,-1.323537143,-0.4858740923
3.539614167,0.001150951311,-1.042870792,-0.772498464
3.549579167,0.01842742704,-0.4487901735,-1.033642716
3.559545167,0.1255989962,-0.02727784574,-1.099772387
3.569510167,0.134082429,0.1292339909,-1.019086073
3.579475167,0.1224803837,0.1246088433,-0.7855009174
3.589441167,0.1960780446,0.1829348195,-0.576299382
3.599406167,0.2346537343,-0.007483851314,-0.392782326
